NOMBRE_CAMPO,LONGITUD,TIPO,MNEMÓNICO,CATÁLOGO,RANGO_CLAVES   
5. ¿Cuál fue el motivo principal por el que usted leyó el (los) libro(s)?  Especifique,250,C,P5_6esp,,"a…z, blanco"
"6. ¿El (Los) libro(s) que leyó fue(ron) manual(es), guía(s) o recetario(s)?",1,N,p6_1,c_si_no,"1,2, blanco"
"6. ¿El (Los) libro(s) que leyó fue(ron) específico(s) de alguna materia o profesión, libro(s) de texto o de uso universitario (ciencia, tecnología, matemáticas, medicina, comercio, derecho, etcétera)?",1,N,p6_2,c_si_no,"1,2, blanco"
"6. ¿El (Los) libro(s) que leyó fue(ron) de autoayuda, superación personal o religioso(s)?",1,N,p6_3,c_si_no,"1,2, blanco"
"6. ¿El (Los) libro(s) que leyó fue(ron) de literatura (novela, cuento, ciencia ficción, poesía, teatro, etcétera)?",1,N,p6_4,c_si_no,"1,2, blanco"
"6. ¿El (Los) libro(s) que leyó fue(ron) de cultura general (acontecimientos, biografías, temas sociales o de interés, etcétera)?",1,N,p6_5,c_si_no,"1,2, blanco"
6. ¿El (Los) libro(s) que leyó fue(ron) Otro,1,N,p6_6,c_si_no,"1,2, blanco"
6. ¿El (Los) libro(s) que leyó fue(ron) Otro. Especifique,250,C,P6_6esp,,"a…z, blanco"
"7. ¿El libro (La mayoría de los libros) fue(ron)descargado(s) gratuitamente, regalado(s) o prestado(s) o comprado(s) (impreso o digital)?",1,N,P7,cp_adquisición ,"1…3, blanco"
"7. El libro (La mayoría de los libros) fue(roncomprado(s) (impreso o digital). Aproximadamente, ¿cuánto gastó?",6,N,P7_3,cp_gasto,"000000…999999, blanco"
8. ¿El (Los) libro(s) que leyó se encontraba(n) en formato digital?,1,N,p8_1,c_si_no,"1,2, blanco"
8. ¿El (Los) libro(s) que leyó se encontraba(n) impreso(s)?,1,N,p8_2,c_si_no,"1,2, blanco"
9. ¿En qué lugar leyó el (los) libro(s) principalmente?,1,N,p9,cp_lugar,"1…5, blanco"
9. ¿En qué lugar leyó el (los) libro(s) principalmente? Especifique,250,C,p9_5esp,,"a…z, blanco"
10. ¿Cuántas revistas leyó en los últimos tres meses?,2,N,p10,cp_cantidad,"01…99, blanco"
11. ¿Cuál fue el motivo principal por el que usted leyó la(s) revista(s)? ,1,N,p11,cp_motivo,"1…6, blanco"
11. ¿Cuál fue el motivo principal por el que usted leyó la(s) revista(s)?  Especifique,250,C,p11_6esp,,"a…z, blanco"
"12. ¿La(s) revista(s) que leyó fue(ron) de deportes o automovilismo (Sports Illustrated, Automóvil panamericano, Motociclismo, etcétera)?",1,N,p12_1,c_si_no,"1,2, blanco"
"12. ¿La(s) revista(s) que leyó fue(ron) de política(s), económica(s) o financiera(s) (Proceso, Expansión, Newsweek, Alto nivel, Poder y negocios, etcétera)?",1,N,p12_2,c_si_no,"1,2, blanco"
"12. ¿La(s) revista(s) que leyó fue(ron) didáctica(s), sobre manualidades, cocina o decoración (Carpintería, Dos agujas, Cocina Fácil, etcétera)?",1,N,p12_3,c_si_no,"1,2, blanco"
"12. ¿La(s) revista(s) que leyó fue(ron) de bienestar o salud (Men’s  health, Women’s health, Cuerpo mente, Salud vital, etcétera)?",1,N,p12_4,c_si_no,"1,2, blanco"
"12. ¿La(s) revista(s) que leyó fue(ron) religiosas (Atalaya, Vida nueva, Despertares, etcétera)?",1,N,p12_5,c_si_no,"1,2, blanco"
"12. ¿La(s) revista(s) que leyó fue(ron) especializada(s), técnica(s) o científica(s) (National Geographic, Conozca más, Muy interesante, Quo, etcétera)?",1,N,p12_6,c_si_no,"1,2, blanco"
"12. ¿La(s) revista(s) que leyó fue(ron) de cultura general o temas de interés (Selecciones, Contenido, Algarabía, etcétera)?",1,N,p12_7,c_si_no,"1,2, blanco"
"12. ¿La(s) revista(s) que leyó fue(ron) de entretenimiento (TV Notas, Cosmopolitan, Vogue, GQ, Premiere, Rolling Stone, etcétera)?",1,N,p12_8,c_si_no,"1,2, blanco"
12. ¿La(s) revista(s) que leyó fue(ron) otro? ,1,N,p12_9,c_si_no,"1,2, blanco"
12. La(s) revista(s) que leyó fue(ron) otro.Especifique,250,C,p12_9esp,,"a…z, blanco"
"13. ¿La revista (La mayoría de las revistas) fue(ron) descargada(s) gratuitamente, regalada(s) o prestada(s) o comprada(s) (impresa o digital)?",1,N,p13,cp_adquisición ,"1…3, blanco"
"13. La revista (La mayoría de las revistas) fue(ron) comprada(s) (impresa o digital). Aproximadamente, ¿cuánto gastó?",6,N,P13_3,cp_gasto,"000000…999999, blanco"
14. ¿La(s) revista(s) que leyó se encontraba(n) en formato digital?,1,N,p14_1,c_si_no,"1,2, blanco"
14. ¿La(s) revista(s) que leyó se encontraba(n) impresa(s),1,N,p14_2,c_si_no,"1,2, blanco"
15. ¿En qué lugar leyó la(s) revista(s) principalmente?,1,N,p15,cp_lugar,"1…5, blanco"
15. ¿En qué lugar leyó la(s) revista(s) principalmente? Otro. Especifique,250,C,p15_5esp,,"a…z, blanco"
16. ¿Cuántos periódicos leyó la semana pasada?,2,N,p16,cp_cantidad,"01…99, blanco"
17. ¿Cuál es el motivo principal por el que usted leyó el (los) periódico(s)? ,1,N,p17,cp_motivo,"1…6, blanco"
17. ¿Cuál es el motivo principal por el que usted leyó el (los) periódico(s)? Otro.  Especifique,250,C,p17_6esp,,"a…z, blanco"
"18. Del (De los) periódico(s), leyó la sección de política?",1,N,p18_1,c_si_no,"1,2, blanco"
"18. Del (De los) periódico(s), leyó la sección de deportes?",1,N,p18_2,c_si_no,"1,2, blanco"
"18. Del (De los) periódico(s), leyó la sección de cultura o espectáculos?",1,N,p18_3,c_si_no,"1,2, blanco"
"18. Del (De los) periódico(s), leyó la sección de sociales?",1,N,p18_4,c_si_no,"1,2, blanco"
"18. Del (De los) periódico(s), leyó la sección policiaca?",1,N,p18_5,c_si_no,"1,2, blanco"
"19. ¿El periódico (La mayoría de los periódicos) fue(ron) descargado(s) gratuitamente, regalado(s), prestado(s) o comprado(s) (impreso o digital)?",1,N,p19,cp_adquisición ,"1…3, blanco"
"19. El periódico (La mayoría de los periódicos) fue(ron) comprado(s) (impreso o digital). Aproximadamente, ¿cuánto gastó?",6,N,p19_3,cp_gasto,"000000…999999, blanco"
20. ¿El (los) periódico(s) que leyó se encontraba(n) en formato digital?,1,N,p20_1,c_si_no,"1,2, blanco"
20. ¿El (los) periódico(s) que leyó se encontraba(n) impresas,1,N,p20_2,c_si_no,"1,2, blanco"
21. ¿En qué lugar leyó el(los) periódico(s) principalmente?,1,N,p21,cp_lugar,"1…5, blanco"
21. ¿En qué lugar leyó el(los) periódico(s) principalmente? Otro. Especifique,250,C,p21_5esp,,"a…z, blanco"
"22. ¿Usted acostumbra leer historietas como Archie, Memín Pinguín o Marvel…",1,N,p22,cp_frecuencia,"1…5, blanco"
23. ¿La mayor parte de las historietas que lee se encuentran en formato digital?,1,N,p23_1,c_si_no,"1,2, blanco"
23. ¿La mayor parte de las historietas que lee se encuentran impresas,1,N,p23_2,c_si_no,"1,2, blanco"
"24. Sin considerar redes sociales como Facebook y Twitter, ¿las páginas de internet, foros o blogs acostumbra leerlos…",1,N,p24,cp_frecuencia,"1…5, blanco"
"25. ¿Cuál es el motivo principal por el que usted leyó páginas de internet, foros o blogs? ",1,N,p25,cp_motivo,"1…6, blanco"
"25. ¿Cuál es el motivo principal por el que usted leyó páginas de internet, foros o blogs?Otro. Especifique",250,C,p25_6esp,,"a…z, blanco"
"26. Aproximadamente, ¿cuántos minutos continuos lee algún material de lectura?",3,N,p26,cp26,"001…999, blanco"
"27. Cuando lee, ¿realiza otra actividad al mismo tiempo?",1,N,p27,c_si_no,"1,2, blanco"
"28. Principalmente, ¿qué otra actividad realiza mientras lee?",1,N,p28,cp28,"1…7, blanco"
"28. Principalmente, ¿qué otra actividad realiza mientras lee? Especifique",250,C,p28_7esp,,"a…z, blanco"
"29. Cuando lee algún texto, ¿cree que la velocidad de su lectura es…",1,N,p29,cp29,"1…4, blanco"
"30. Cuando usted lee algún texto, ¿la comprensión de su lectura es…",1,N,p30,cp30,"1…4, blanco"
"31. ¿Acostumbra consultar otros materiales (diccionario, enciclopedia, internet, etcétera) para buscar más información sobre su lectura?",1,N,p31,c_si_no,"1, 2, blanco"
32. ¿Cuál es el motivo principal por el que usted no lee los materiales de lectura antes mencionados?,1,N,p32,cp32,"1…6, blanco"
32. ¿Cuál es el motivo principal por el que usted no lee los materiales de lectura antes mencionados? Especifique,250,C,p32_6esp,,"a…z, blanco"
"33. En los últimos tres meses, ¿usted asistió a la sección de libros y revistas de una tienda departamental?        ",1,N,p33_1,c_si_no,"1, 2, blanco"
"33. En los últimos tres meses, ¿usted asistió a un puesto de libros o revistas usados?   ",1,N,p33_2,c_si_no,"1, 2, blanco"
"33. En los últimos tres meses, ¿usted asistió a una biblioteca?",1,N,p33_3,c_si_no,"1, 2, blanco"
"33. En los últimos tres meses, ¿usted asistió a una librería?",1,N,p33_4,c_si_no,"1, 2, blanco"
34. ¿Cuándo usted era niño(a) sus padres o tutores lo(a) llevaban a bibliotecas o librerías?,1,N,p34_1,c_si_nr,"1…3, blanco"
34. ¿Cuándo usted era niño(a) veía a sus padres o tutores leer?  ,1,N,p34_2,c_si_nr,"1…3, blanco"
34. ¿Cuándo usted era niño(a) sus padres o tutores le leían?    ,1,N,p34_3,c_si_nr,"1…3, blanco"
34. ¿Cuándo usted era niño(a) ¿Quién le leía principalmente?,1,N,p34_3_1,cp34c1,"1…3, blanco"
"34. ¿Cuándo usted era niño(a) sin contar los libros de texto, había libros en su casa?",1,N,p34_4,c_si_nr,"1…3, blanco"
34. ¿Cuándo usted era niño(a) ¿Aproximadamente había…,1,N,p34_4_1,cp34d1,"1…5, blanco"
35. ¿En su infancia usted asistió a la escuela primaria?,1,N,p35,c_si_no,"1, 2, blanco"
"36. ¿Cuando usted era niño(a), en su escuela primaria sus maestros le pedían leer otros libros además de los de texto?                 ",1,N,P36_1,c_si_nr,"1…3, blanco"
"36. ¿Cuando usted era niño(a), en su escuela primaria sus maestros después de realizar alguna lectura, le pedían comentar o exponer lo leído?",1,N,P36_2,c_si_nr,"1…3, blanco"
"36. ¿Cuando usted era niño(a), en su escuela primaria sus maestros lo(a) motivaban para que leyera otros libros?",1,N,P36_3,c_si_nr,"1…3, blanco"
"36. ¿Cuando usted era niño(a), en su escuela primaria sus maestros lo(a) animaban para visitar bibliotecas?",1,N,p36_4,c_si_nr,"1…3, blanco"
Factor,6,N,factor,,000001 … 999999
Habito de lectura ,1,N,h_lec,cph_lec,1…4
Materiales de lectura ,1,N,mat_lec,cpmat_lec,1…4
Estatus de las personas en condición de lectura de materiales considerados por MOLEC ,1,N,perselec,cpperslec,"1, 2"
Formato de libros ,1,N,l_format,cp_formato,1...3
Formato de revistas ,1,N,r_format,cp_formato,1...3
Formato de periódicos  ,1,N,p_format,cp_formato,1...3
"Personas lectoras de libros, revistas o periódicos",1,N,perslecl,c_si_no,"1, 2, blanco"
