NOMBRE_CAMPO,,TIPO,NEMÓNICO,CATÁLOGO,RANGO_CLAVES   
34. ¿Cuándo usted era niño(a) sus padres o tutores le leían?    ,,N,p34_3,c_si_nr,"1...3, blanco"
34. ¿Cuándo usted era niño(a) ? Quién le leía principalmente?,,N,p34_3_1,cp34c1,"1...3, blanco"
"34. ¿Cuándo usted era niño(a) sin contar los libros de texto, había libros en su casa?",,N,p34_4,c_si_nr,"1...3, blanco"
34. ¿Cuándo usted era niño(a)?Aproximadamente había…,,N,p34_4_1,cp34d1,"a...z, blanco"
35. ¿En su infancia usted asistió a la escuela primaria?,,N,p35,c_si_no,"1...2, blanco"
"36. ¿Cuando usted era niño(a), en su escuela primaria sus maestros le pedían leer otros libros además de los de texto?                 ",,N,p36_1,c_si_nr,"1...3, blanco"
"36. ¿Cuando usted era niño(a), en su escuela primaria sus maestros después de realizar alguna lectura, le pedían comentar o exponer lo leído?",,N,p36_2,c_si_nr,"1...3, blanco"
"36. ¿Cuando usted era niño(a), en su escuela primaria sus maestros lo(a) motivaban para que leyera otros libros?",,N,p36_3,c_si_nr,"1...3, blanco"
"336. ¿Cuando usted era niño(a), en su escuela primaria sus maestros lo(a) animaban para visitar bibliotecas?",,N,p36_4,c_si_nr,"1...3, blanco"
Factor,,N,factor,,000001...999999
Habito de lectura ,,C,h_lec,cph_lec,"1...4, blanco"
Materiales de lectura ,,C,mat_lec,cpmat_lec,"1...4, blanco"
Status de las personas en condición de lectura de materiales considerados por MOLEC ,,C,perslec,cpperslec,"1...2, blanco"
Formato de libros ,,C,l_format,cp_formato,"1...3, blanco"
Formato de revistas ,,C,r_format,cp_formato,"1...3, blanco"
Formato de periódicos  ,,C,p_format,cp_formato,"1...3, blanco"
"Personas lectoras de libros, revistas o periódicos",,C,perslecl,c_si_no,"1...2, blanco"
